Wednesday 21st of March 2012 10:51:35 PM	 broker_id =1
Thursday 22nd of March 2012 02:21:14 AM	 broker_id =1
Thursday 22nd of March 2012 03:24:55 AM	 broker_id =1
Thursday 22nd of March 2012 03:43:21 AM	 broker_id =1
Thursday 22nd of March 2012 04:15:06 AM	 broker_id =1
Thursday 22nd of March 2012 05:04:34 AM	 broker_id =1
Thursday 22nd of March 2012 05:10:04 AM	 broker_id =1
Friday 23rd of March 2012 12:31:22 AM	 broker_id =1
Friday 23rd of March 2012 12:42:19 AM	 broker_id =1
Friday 23rd of March 2012 01:37:05 AM	 broker_id =1
Friday 23rd of March 2012 02:34:15 AM	 broker_id =1
Friday 23rd of March 2012 02:44:08 AM	 broker_id =1
Friday 23rd of March 2012 06:17:37 AM	 broker_id =1
Friday 23rd of March 2012 06:44:38 AM	 broker_id =1
Friday 23rd of March 2012 11:03:58 AM	 broker_id =1
Friday 23rd of March 2012 11:12:00 AM	 broker_id =1
Friday 23rd of March 2012 11:16:11 AM	 broker_id =1
Monday 26th of March 2012 11:44:09 AM	 broker_id =1
Wednesday 28th of March 2012 09:02:45 AM	 broker_id =1
Wednesday 28th of March 2012 09:03:50 AM	 broker_id =1
Wednesday 28th of March 2012 09:03:53 AM	 broker_id =1
Sunday 08th of July 2012 08:54:54 AM	 broker_id =1
Sunday 08th of July 2012 11:28:22 AM	 broker_id =1
Saturday 20th of October 2012 03:10:00 AM	 broker_id =1
Thursday 13th of June 2013 07:11:41 AM	 broker_id =1
Monday 17th of June 2013 10:18:41 AM	 broker_id =1
Monday 17th of June 2013 10:19:19 AM	 broker_id =1
Monday 17th of June 2013 10:19:23 AM	 broker_id =1
Monday 17th of June 2013 10:19:40 AM	 broker_id =1
Monday 17th of June 2013 10:22:23 AM	 broker_id =1
Sunday 30th of June 2013 02:50:47 PM	 broker_id =1
Tuesday 02nd of July 2013 06:01:44 PM	 broker_id =1
Tuesday 02nd of July 2013 06:12:56 PM	 broker_id =1
